id,ncbi_taxon_id,gbif_taxon_id,ncbi_canonical_name,gbif_canonical_name,gbif_synonyms_ids,gbif_synonyms_names,ncbi_synonyms_names
600,,8524203,,Pterocarcinus baileyi,,,
601,,12199644,,Aquitainotlos gaasensis,,,
602,,11158416,,Ovilyra fuliginosa,5969018; 5968985,Philyra olivacea; Philyra fuliginosa,
603,,2221783,,Callidactylus asper,,,
604,,5969211,,Nursilia tonsor,,,
605,,4377365,,Nursilia dentata,,,
606,,5969212,,Nursilia sinica,,,
607,,4644351,,Lissomorpha haswelli,,,
608,,11712429,,Hepatinulus seguentiae,,,
609,,8613982,,Hepatinulus lovisatoi,,,
610,,12223683,,Zannatoius vicetinus,,,
611,,5968828,,Cryptocnemus stimpsoni,,,
612,,12219182,,Cryptocnemus crosnierorum,,,
613,,4382729,,Cryptocnemus holdsworthi,,,
614,,5968836,,Cryptocnemus trigonus,,,
615,,5968832,,Cryptocnemus kamekii,,,
616,,5968834,,Cryptocnemus obolus,,,
617,,4644405,,Cryptocnemus crenulatus,,,
618,,4644404,,Cryptocnemus vincentianus,,,
619,,4644403,,Cryptocnemus hemispheroides,,,
620,,4644406,,Cryptocnemus planus,,,
621,,5968827,,Cryptocnemus pentagonus,,,
622,,4644407,,Cryptocnemus haddoni,,,
623,,5968830,,Cryptocnemus mortenseni,,,
624,,4382728,,Cryptocnemus grandidieri,,,
625,,4382727,,Cryptocnemus tuberosus,,,
626,,5968824,,Cryptocnemus aberrans,,,
627,,5968831,,Cryptocnemus trapezoides,,,
628,,5968833,,Cryptocnemus macrognathus,,,
629,,5968829,,Cryptocnemus calmani,,,
630,,5968826,,Cryptocnemus marginatus,,,
631,,5968835,,Cryptocnemus siamensis,,,
632,,10725107,,Cryptocnemus kavieng,,,
633,,5968825,,Cryptocnemus chinensis,,,
634,,4644344,,Tlos muriger,,,
635,,5969024,,Speloeophoroides capixaba,,,
636,,5178286,,Myropsis quinquespinosa,5968974; 5968975,Myropsis goliath; Myropsis constricta,
637,,8535354,,Nucilobus symmetricus,,,
638,,8534336,,Nucilobus bericus,,,
639,,8665436,,Palaeomyra bispinosa,,,
640,,12206252,,Palaeomyra strouhali,8491027,Randallia strouhali,
641,,8459563,,Palaeomyra globulosa,9043134,Ebalia globulosa,
642,,12243594,,Cabrillia hendyi,,,
643,,5968893,,Leucosilia maldivensis,,,
644,,8463566,,Leucosilia bananensis,,,
645,,5968891,,Leucosilia jurinii,5968892,Guaia jurinii,
646,,5968971,,Oreotlos heuretos,,,
647,,5968962,,Oreotlos etor,,,
648,,5968964,,Oreotlos bertrandi,,,
649,,5968972,,Oreotlos pala,,,
650,,12235222,,Oreotlos alaini,,,
651,,5968963,,Oreotlos pax,,,
652,,12225189,,Oreotlos atticus,,,
653,,5968970,,Oreotlos encymus,,,
654,,11373248,,Oreotlos octavus,,,
655,,5968973,,Oreotlos speciosus,8751043,Oreophorus speciosus,
656,,2221821,,Oreotlos lagarodes,,,
657,,5968969,,Oreotlos potanus,,,
658,,2221822,,Oreotlos angulatus,5968961,Tlos angulatus,
659,,5968967,,Oreotlos latus,5968968,Tlos latus,
660,,5968965,,Oreotlos havelocki,5968966,Tlos havelocki,
661,,10430252,,Nobiliella margaritata,,,
662,,5969119,,Nobiliella jousseaumei,4377408,Nursia jousseaumei,
663,,5969120,,Nobiliella cornigera,5969121,Nursia cornigera,
664,,8677960,,Duncanitrix jamaicensis,12270881,Duncania jamaicensis,
665,,5969210,,Favus granulatus,,,
666,,5968895,,Alox glene,,,
667,,8473869,,Alox naispela,,,
668,,5968905,,Alox somphos,,,
669,,5968898,,Alox bothros,,,
670,,5968897,,Alox tormos,,,
671,,8598852,,Alox liklik,,,
672,,5968896,,Alox uru,,,
673,,5968894,,Alox antheos,,,
674,,5968903,,Alox chaunos,,,
675,,5968902,,Alox zalion,,,
676,,4644376,,Alox rugosum,5968901,Oreophorus rugosus,
677,,4644375,,Alox patella,4644343,Tlos patella,
678,,5968899,,Alox latusoides,5968900,Oreophorus latusoides,
679,,4644374,,Alox ornatum,4644301,Oreophorus ornatus,
680,,5968854,,Ancylodactyla nana,5968855,Randallia nana,
681,,5968860,,Ancylodactyla elata,5968861,Praebebalia elata,
682,,5968856,,Ancylodactyla elongata,5968858; 5968857; 5968859,Praebebalia elongata; Praebebalia bidentata; Praebebalia semblatae,
683,,7427648,,Kabutos durandi,5969171,Merocryptus durandi,
684,,8615086,,Ampliura simplex,,,
685,,5969116,,Uhlias ellipticus,,,
686,,2221765,,Uhlias limbatus,,,
687,,12175176,,Alainyra deficiens,5968915,Pseudophilyra deficiens,
688,,4644323,,Dolos petraeus,4644342,Tlos petraeus,
689,,9710904,,Neparilia tuberculata,5969208,Parilia tuberculata,
690,1818044,,Ebalia sp. bold:aay0490,,,,
691,3410250,,Bellayra sp. 1 im-2025b,,,,
692,3069640,,Pyrhila sp.,,,,
693,3027154,,Myra sp.,,,,
694,2790770,,Nucia sp. haw01,,,,
